"","date","tweet"
"904",2017-12-09,1055
"905",2017-12-10,196
"906",2017-12-11,64
"907",2017-12-12,75
"908",2017-12-13,112
"909",2017-12-14,113
"910",2017-12-15,68
"911",2017-12-16,62
"912",2017-12-17,72
"913",2017-12-18,49
"914",2017-12-19,78
"915",2017-12-20,65
"916",2017-12-21,51
"917",2017-12-22,40
"918",2017-12-23,57
"919",2017-12-24,85
"920",2017-12-25,32
"921",2017-12-26,24
"922",2017-12-27,31
"923",2017-12-28,40
"924",2017-12-29,38
"925",2017-12-30,9
